timestamp,deviceId,sensorType,gatewayId,value
2025-08-03T13:44:33.946Z,sensor-0-0-0,SOIL_MOISTURE,gw-0-0,16.36
2025-08-03T13:44:34.697Z,sensor-0-0-0,AIR_TEMP,gw-0-0,27.58
2025-08-03T13:44:34.905Z,sensor-0-0-0,HUMIDITY,gw-0-0,41.19
2025-08-03T13:44:35.115Z,sensor-0-0-0,LIGHT,gw-0-0,79.33
2025-08-03T13:44:35.326Z,sensor-0-0-1,SOIL_MOISTURE,gw-0-0,30.5
2025-08-03T13:44:35.526Z,sensor-0-0-1,AIR_TEMP,gw-0-0,23.17
2025-08-03T13:44:35.721Z,sensor-0-0-1,HUMIDITY,gw-0-0,46.77
2025-08-03T13:44:35.871Z,sensor-0-0-1,LIGHT,gw-0-0,14.48
2025-08-03T13:44:36.017Z,sensor-0-0-2,SOIL_MOISTURE,gw-0-0,38.62
2025-08-03T13:44:36.233Z,sensor-0-0-2,AIR_TEMP,gw-0-0,33.3
2025-08-03T13:44:36.543Z,sensor-0-0-2,HUMIDITY,gw-0-0,41.95
2025-08-03T13:44:36.757Z,sensor-0-0-2,LIGHT,gw-0-0,30.33
2025-08-03T13:44:36.958Z,sensor-0-0-3,SOIL_MOISTURE,gw-0-0,24.75
2025-08-03T13:44:37.111Z,sensor-0-0-3,AIR_TEMP,gw-0-0,27.09
2025-08-03T13:44:37.361Z,sensor-0-0-3,HUMIDITY,gw-0-0,89.34
2025-08-03T13:44:37.564Z,sensor-0-0-3,LIGHT,gw-0-0,47.01
2025-08-03T13:44:37.747Z,sensor-0-0-4,SOIL_MOISTURE,gw-0-0,22.07
2025-08-03T13:44:38.354Z,sensor-0-0-4,AIR_TEMP,gw-0-0,33.26
2025-08-03T13:44:38.952Z,sensor-0-0-4,HUMIDITY,gw-0-0,40.5
2025-08-03T13:44:39.101Z,sensor-0-0-4,LIGHT,gw-0-0,11.45
2025-08-03T13:44:39.309Z,sensor-0-0-5,SOIL_MOISTURE,gw-0-0,16.93
2025-08-03T13:44:39.485Z,sensor-0-0-5,AIR_TEMP,gw-0-0,16.77
2025-08-03T13:44:39.629Z,sensor-0-0-5,HUMIDITY,gw-0-0,74.52
2025-08-03T13:44:39.818Z,sensor-0-0-5,LIGHT,gw-0-0,54.41
2025-08-03T13:44:39.966Z,sensor-0-0-6,SOIL_MOISTURE,gw-0-0,35.86
2025-08-03T13:44:40.124Z,sensor-0-0-6,AIR_TEMP,gw-0-0,13.67
2025-08-03T13:44:40.432Z,sensor-0-0-6,HUMIDITY,gw-0-0,88.74
2025-08-03T13:44:40.636Z,sensor-0-0-6,LIGHT,gw-0-0,12.77
2025-08-03T13:44:40.844Z,sensor-0-0-7,SOIL_MOISTURE,gw-0-0,32.43
2025-08-03T13:44:41.063Z,sensor-0-0-7,AIR_TEMP,gw-0-0,21.72
2025-08-03T13:44:41.251Z,sensor-0-0-7,HUMIDITY,gw-0-0,58.12
2025-08-03T13:44:41.456Z,sensor-0-0-7,LIGHT,gw-0-0,69.44
2025-08-03T13:44:41.661Z,sensor-0-0-8,SOIL_MOISTURE,gw-0-0,41.37
2025-08-03T13:44:41.924Z,sensor-0-0-8,AIR_TEMP,gw-0-0,16.39
2025-08-03T13:44:42.087Z,sensor-0-0-8,HUMIDITY,gw-0-0,68.53
2025-08-03T13:44:42.230Z,sensor-0-0-8,LIGHT,gw-0-0,31.24
2025-08-03T13:44:42.388Z,sensor-0-0-9,SOIL_MOISTURE,gw-0-0,32.15
2025-08-03T13:44:42.536Z,sensor-0-0-9,AIR_TEMP,gw-0-0,32.98
2025-08-03T13:44:42.685Z,sensor-0-0-9,HUMIDITY,gw-0-0,64.79
2025-08-03T13:44:42.838Z,sensor-0-0-9,LIGHT,gw-0-0,16.88
